UEI,Start_Date,End_Date,Duration(Days),Main Cause,Location,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage,Event Source
UEI-IMD-FL-2015-0001,6/20/2015,6/21/2015,1,Heavy rains,"East Godavari, Srikakulam, Visakhapatnam and West Godavari",ANDHRA  PRADESH,NA,NA,NA,NA,NA,NA,NA,NA,NA,i) Damage to 2000 hectares of crops reported. ii) Inundation of low lying areas,IMD
UEI-IMD-FL-2015-0002,11/15/2015,11/23/2015,8,Heavy rains,"Anantapur, Chittoor, East Godavari, Krishna, Nellore, Prakasam, West Godavari, YSR Kadapa",ANDHRA  PRADESH,NA,NA,NA,NA,88,NA,NA,16710,88 persons died. 16710 animals perished. (844 big animals 3986 small animals & 11880 poultry birds),"i) Extensive damage to Agricultural crops (more than 33% area i.e. 2.18 lakh hectares reported. ii) Rs.786.68/- estimated loss. iii) Damage to 32743 houses reported. iv) 5,673 families in 550 villages affected. v) Extensive damage to 1296.77 km roads reported. vi) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply.",IMD
UEI-IMD-FL-2015-0003,12/22/2015,12/22/2015,0,Heavy rains,Vishakhapatnam,ANDHRA  PRADESH,NA,NA,NA,NA,4,NA,NA,NA,4 persons died due to landslips,Landslips ,IMD
UEI-IMD-FL-2015-0004,10/6/2015,10/6/2015,0,Heavy rains,Parts of Arunachal Pradesh,ARUNACHAL PRADESH,NA,NA,NA,NA,2,NA,NA,NA,2 persons died.,NA,IMD
UEI-IMD-FL-2015-0005,2/19/2015,2/19/2015,0,Heavy rains,Parts of Assam,ASSAM,NA,NA,NA,NA,2,NA,NA,NA,2 persons died due to landslide,NA,IMD
UEI-IMD-FL-2015-0006,1/6/2015,6/6/2015,151,Heavy rains,"Barpeta, Dhemaji, Golpara",ASSAM,NA,NA,NA,NA,NA,NA,NA,NA,NA,About 900 people of 135 villages affected..,IMD
UEI-IMD-FL-2015-0007,9/6/2015,6/17/2015,Diffing the dates,Flood(Brahmaputra and tributaries),"Baksa, Barpeta, Darrang, Dhemaji,Dibrugarh, Goalpara Jorhat,Kamrup, Kamrup (M), Lakhimpur,Morigaon, Nagaon, Nalbari,Sivsagar, Sonitpur, and Tinsukia",ASSAM,NA,NA,NA,NA,3,NA,NA,NA,3 persons died in Sonitpur & Baksa,NA,IMD
UEI-IMD-FL-2015-0008,6/20/2015,6/24/2015,4,Flood (Brahmaputra  and tributaries),"Barpeta, Dhemaji, Lakhimpur, Morigaon and Tinsukia. ",ASSAM,NA,NA,NA,NA,1,NA,NA,NA,One person died.,i)About 27248 people of 72 villages affected.  ii) The crops about 1582 hectares of crop land affected.,IMD
UEI-IMD-FL-2015-0009,7/14/2015,7/17/2015,3,Flood (Brahmaputra  and tributaries),Parts of Assam,ASSAM,NA,NA,NA,NA,5,10,NA,NA,5 person died & 10 injured due to severe TS on 14th July,"i) 2,89,788 population affected. ii) Extensive damage to 174 villages reported. iii) Damage to cropland of area 18060 hectares reported.",IMD
UEI-IMD-FL-2015-0010,8/19/2015,8/23/2015,4,Flood (Brahmaputra  and tributaries),"Barpeta, Bongaigaon, Chirang, Darrang, Dhemaji, Dhubri, Dibrugarh, Golaghat, Goalpara Jorhat, Kamrup, Kokrajhar, Lakhimpur, Morigaon, Nagaon, Nalbari, Sivsagar, Sonitpur, and Tinsukia ",ASSAM,NA,NA,NA,NA,8,NA,NA,NA,8 persons died,"i) 5,76,537 population affected. ii) Extensive damage to 1200 villages reported. iii) Damage to cropland of area 55,553 hectares reported.",IMD
UEI-IMD-FL-2015-0011,8/25/2015,8/31/2015,6,Flood (Brahmaputra  and tributaries),"Barpeta, Baksa, Darrang, Dhemaji, Dhubri, Dibrugarh, Golaghat, Goalpara Jorhat, Kamrup, Kokrajhar, Lakhimpur, Morigaon, Nagaon, Nalbari, Sivsagar, Sonitpur, and Tinsukia ",ASSAM,NA,NA,NA,NA,7,NA,NA,NA,7 persons died,"i) 7,35,829 population affected. ii) Extensive damage to 1597 villages reported. iii) Damage to cropland of area 1,18,403 hectares reported.",IMD
UEI-IMD-FL-2015-0012,1/9/2015,12/9/2015,334,Flood (Brahmaputra  and tributaries),"Barpeta,Baksa,  Bongaigaon, Cachar, Darrang, Dhemaji, Dhubri, Dibrugarh, Golaghat, Goalpara Jorhat, Kamrup, Kamrup(M), Kokrajhar, Lakhimpur, Morigaon, Nagaon, Nalbari, Sivsagar, Sonitpur, and Tinsukia",ASSAM,NA,NA,NA,NA,28,NA,NA,NA,28 persons died.,"i)17,67,159 population affected. ii) Extensive damage to 2080 villages from 21 districts reported. iii) Damage to cropland of area 1,72,308 hectares reported. ",IMD
UEI-IMD-FL-2015-0013,9/23/2015,9/25/2015,2,Heavy rains,"Dhemaji, Goalpara Kamrup and Lakhimpur",ASSAM,NA,NA,NA,NA,NA,NA,NA,NA,NA,"i) 23,497 population affected. ii) Extensive damage to 48 villages reported. iii) Damage to cropland of area 2383 hectares reported. ",IMD
UEI-IMD-FL-2015-0014,7/24/2015,7/24/2015,0,Heavy Rains,Parts of Bihar,BIHAR,NA,NA,NA,NA,2,NA,NA,NA,2 persons died.,"Several trees / electric poles uprooted causing disruption in telecommunication services, vehicular traffic & power supply. ",IMD
UEI-IMD-FL-2015-0015,3/9/2015,3/9/2015,0,Heavy rains,Mungeli,CHATTISGARH,NA,NA,NA,NA,1,4,NA,NA,One child died &  4 persons injured. ,"Several trees / electric poles uprooted causing disruption in telecommunication services, vehicular traffic & power supply",IMD
UEI-IMD-FL-2015-0016,9/18/2015,9/22/2015,4,Heavy rains,"Bastar, Mahasamund Raipur, Rajnandgaon ",CHATTISGARH,NA,NA,NA,NA,2,4,NA,NA,2 persons died &  4 others injured,"Several trees / electric poles uprooted causing disruption in telecommunication services, vehicular traffic & power supply. ",IMD
UEI-IMD-FL-2015-0017,1/6/2015,9/30/2015,267,Heavy rains & Flash Floods (Shatrunjaya river),Saurashtra & Kutch,CHATTISGARH,NA,NA,NA,NA,70,NA,NA,9053,70 people died & 9053 animals perished. ,i)Loss of Rs.1896.87 Crore reported.  ii) 40 lakh population affected. iii) Worst affected district was Amreli. ,IMD
UEI-IMD-FL-2015-0018,3/4/2015,4/4/2015,31,Heavy rains,Shimla,HIMACHAL PRADESH,NA,NA,NA,NA,1,NA,NA,NA,One woman died in Shimla due to landslide,NA,IMD
UEI-IMD-FL-2015-0019,6/20/2015,6/21/2015,1,Heavy rains (Cloud Burst),Chamba,HIMACHAL PRADESH,NA,NA,NA,NA,1,NA,NA,NA,One woman died in Chamba Dist. due to cloud burst.,i) Damage to crops due to flash floods & cloud burst reported. ii) Damage to 6 houses reported. iii) Damage to 2 power projects reported.,IMD
UEI-IMD-FL-2015-0020,10/7/2015,11/7/2015,31,Heavy rains,"Hamirpur, Kangra, Kullu, Mandi, Shimla and  Sirmaur",HIMACHAL PRADESH,NA,NA,NA,NA,NA,NA,NA,NA,NA,i)Power projects shut down in Shimla & Kullu Dist. ii) Air India flights cancled at Gaggal Airport. iii) Roads blocked due to landslides. iv) The Bora Bhangal valley of Kangra Dist. cut off as Hanny bridge collapsed due to flash floods.,IMD
UEI-IMD-FL-2015-0021,7/16/2015,7/17/2015,1,Heavy rains (Cloud Burst),"Hamirpur, Kangra, Shimla Sirmaur and Solan ",HIMACHAL PRADESH,NA,NA,NA,NA,3,NA,NA,NA,3 worker washed away due to cloud burst at Puncha Nallah in Kullu Dist,i)Damage to crops reported. ii) 2 trucks loaded with material washed away in Solan Dist. iii) Bridge collapsed at Sadhupul Khud in Solan Dist. ,IMD
UEI-IMD-FL-2015-0022,7/26/2015,7/26/2015,0,Heavy rains,Shimla ,HIMACHAL PRADESH,NA,NA,NA,NA,3,NA,NA,NA,3   persons   including  2   children  died   due  to  landslide. ,NA,IMD
UEI-IMD-FL-2015-0023,8/8/2015,12/8/2015,122,Heavy rains (Flood in Swan river),"Bilaspur, Chamba, Hamirpur, Kangra,  Mandi, Shimla, Sirmaur, Una",HIMACHAL PRADESH,NA,NA,NA,NA,4,2,NA,NA,") 3 persons died due to landslide. One man swept away in Swan river, Una Dist. & 2 persons missing. ii) Several cattle heads perished.","i) Damage to vegetables & Maize   crops reported. ii) A bus stand at Dharampur, Dist. Mandi inundated. iii) Several vehicles washed away in flashflood. iv) 100 shops submerged. v) Several roads including Theog Hatkoti road, Kangra - Dharamshala NH-88 roads blocked due to landslides",IMD
UEI-IMD-FL-2015-0024,8/19/2015,8/19/2015,0,Heavy rains,Kullu,HIMACHAL PRADESH,NA,NA,NA,NA,10,NA,NA,NA,10 persons died due to landslide.,Landslide,IMD
UEI-IMD-FL-2015-0025,3/21/2015,3/21/2015,0,Heavy rains,Pulwama,JAMMU & KASHMIR,NA,NA,NA,NA,1,1,NA,NA,One person died & one injured due to house collapsed by landslide,NA,IMD
UEI-IMD-FL-2015-0026,3/30/2015,3/30/2015,0,Heavy rains,Budgam,JAMMU & KASHMIR,NA,NA,NA,NA,16,NA,NA,NA,16 persons died due to landslide,i) Damage to 18 houses reported.  ii) National highway remained closed,IMD
UEI-IMD-FL-2015-0027,4/4/2015,4/4/2015,0,Heavy rains,Jammu & Kashmir ,JAMMU & KASHMIR,NA,NA,NA,NA,24,NA,NA,NA,24 persons died due to landslide & landslips,Massive Landslide,IMD
UEI-IMD-FL-2015-0028,6/7/2015,6/7/2015,0,Cloud Burst,Pulwama,JAMMU & KASHMIR,NA,NA,NA,NA,1,NA,NA,NA,One woman died,NA,IMD
UEI-IMD-FL-2015-0029,9/7/2015,7/16/2015,Diffing the dates,Heavy rains,"Anantnag, Ganderbal ",JAMMU & KASHMIR,NA,NA,NA,NA,11,2,NA,NA,11 persons died &  2 others missing,i) Several villages washed away. ii) Damage to about 50 houses reported. iii) Extensive damage to Government owned Trout Fish Hatcheries reported.  ,IMD
UEI-IMD-FL-2015-0030,7/24/2015,7/24/2015,0,Cloud Burst,Jammu,JAMMU & KASHMIR,NA,NA,NA,NA,3,NA,NA,NA,3 persons died.,Damage to several houses reported,IMD
UEI-IMD-FL-2015-0031,7/25/2015,7/31/2015,6,Heavy Rain & Flash Flood,"Badgam, Ganderbal, Kishtwar, Ramban ",JAMMU & KASHMIR,NA,NA,NA,NA,4,19,NA,NA,4 persons died & 19 other injured near base camp of Amarnath yatra at Baltal.,i) Damage to Agricultural land reported. ii) Damage to several Govt. buildings & residential houses reported.,IMD
UEI-IMD-FL-2015-0032,9/23/2015,9/23/2015,0,Heavy Rain & Flash Flood,"Anantnag, Kulgam ",JAMMU & KASHMIR,NA,NA,NA,NA,NA,NA,NA,NA,NA,"i) Damage to Orchards and standing crops reported. ii) Damage to a dozen houses, two school buildings and several cowsheds reported. ",IMD
UEI-IMD-FL-2015-0033,6/3/2015,3/14/2015,Diffing the dates,Heavy rains,"Ballari, Dakshina Kannada, Gadag, Hassan, Uttar Kannada",KARNATAKA,NA,NA,NA,NA,1,NA,NA,4,1 man died temple wall collapse. 4 cattle heads perished.,"i)Damage to standing crops & Mango, Banana trees reported. ii) Damage to 8 houses reported.",IMD
UEI-IMD-FL-2015-0034,7/4/2015,12/4/2015,153,Heavy rains,"Ballari,  Bidar, Hassan, Kodagu, Raichur ",KARNATAKA,NA,NA,NA,NA,4,1,NA,NA,4 persons died & One girl injured due to roof  of house collapsed,"i) Damage to Paddy crops, thousands of Banana plants, hundreds of Coconut trees & Rice bags reported ii) Damage to many houses reported. iii)  Damage to about 250 Tin-sheds reported. iv)  Many trees/electric poles uprooted. ",IMD
UEI-IMD-FL-2015-0035,4/22/2015,4/23/2015,1,Heavy rains,"Bangalore Urban, Shimoga,  Tumkur",KARNATAKA,NA,NA,NA,NA,1,4,NA,NA,One person died due  to wall collapse in Bangalore Urban &  4 persons injured in Shimoga Dist,"i) Damage to Banana, Coconut, Mango, Jackfruit trees reported. ii) Damage to several houses reported. iii) Damage worth lakhs rupees reported.  iv) Many trees / electric poles uprooted",IMD
UEI-IMD-FL-2015-0036,4/5/2015,11/5/2015,214,Heavy rains,"Raichur, Tumkur ",KARNATAKA,NA,NA,NA,NA,2,1,NA,NA,2 persons died & one other injured due to wall collapse ,Damage to Paddy crops resulting loss of lakhs of rupees reported. ,IMD
UEI-IMD-FL-2015-0037,5/27/2015,5/31/2015,4,Heavy rains,"Bangalore Rular, Bangalore Urban, Chitradurga, Hassan ",KARNATAKA,NA,NA,NA,NA,1,4,NA,NA,One person died &  4 other injured,"Damage to more than 3000 Banana plants, Onion crop in 40 acre land, Coconut trees, pomegranate, Betel nuts reported. ii) Damage to Rose garden causing loss of lakhs of rupees reported. iii) Damage to many houses reported.  ",IMD
UEI-IMD-FL-2015-0038,6/20/2015,6/25/2015,5,Heavy rains & Flood,"Chickmangalur, Dakshina Kannada, Hassan,  Kodagu, Shimoga ",KARNATAKA,NA,NA,NA,NA,8,8,NA,NA,8 persons died &  8 persons injured. ,i) Damage to Betel nut crops reported. ii) Damage to many houses reported.  iii) About 400 electric poles uprooted causing disruption in power supply for a week,IMD
UEI-IMD-FL-2015-0039,10/7/2015,7/20/2015,Diffing the dates,Heavy rains,"Bellary ,Dakshina Kannada, Udupi ",KARNATAKA,NA,NA,NA,NA,10,NA,NA,NA,10 persons died,NA,IMD
UEI-IMD-FL-2015-0040,9/29/2015,9/29/2015,0,Heavy rains,Uttara Kannada ,KARNATAKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Damage to 200 acres of Sugarcane & 70 acres of Banana plantation reported. ,IMD
UEI-IMD-FL-2015-0041,1/10/2015,4/10/2015,90,Heavy rains,"Bagalkot, Belgaum, Bellary, Chitradurga, Davangere, Dharwad, Gulbarga, Tumkur ",KARNATAKA,NA,NA,NA,NA,4,NA,NA,NA,4 died,"Damage to crops standing crops of Sugarcane, Tobacco & sowing grains of Jowar, Cotton, and Paddy crops reported. ii) Damage to several houses reported. iii)  A small bridge collapsed causing inundating the road & disruption in traffic. iv)  Several trees uprooted.",IMD
UEI-IMD-FL-2015-0042,2/11/2015,2/11/2015,0,Heavy rains,Chitradurga,KARNATAKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6 houses collapsed,IMD
UEI-IMD-FL-2015-0043,3/3/2015,9/3/2015,184,Heavy rains,"Alappuzha, Ernakulam, Kottayam, Malappuram, Thrissur,  Pathanamthitta",KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Damage to Paddy fields, vegetable plantations, thousands of Banana crops, Betel-leaves, Tapioca, Yam, Nutmeg Coconut trees, fruit crops etc. reported. ii) Roof of Co-operative bank building & a school building blown away causing damage to all files in the staff-room.  iii) Rice sacks kept for afternoon meals for school children extensively damaged in Pathanamthitta Dist. iv) Damage to several houses reported. v) Several trees / electric poles uprooted causing disruption in telecommunication services vehicular traffic & power supply",IMD
UEI-IMD-FL-2015-0044,3/13/2015,3/17/2015,4,Heavy rains,"Alappuzha, Kottayam, Thrissur, Thiruvananthapuram ",KERALA,NA,NA,NA,NA,NA,3,NA,NA,3 person injured Thiruvananthapuram Dist.,"Damage to thousands of Banana crops, vegetable plantation & Coconut, Teak, Jackfruit, Nutmeg trees reported. ii) Damage to several houses reported. iii) Boat capsized causing damage to several fishing equipments. In Alappuzha Dist. iv) Rs.12 lakhs worth damage reported.  v) Several trees / electric poles uprooted causing disruption in telecommunication services vehicular traffic & power supply. vi) Several electric cable lines damaged completely",IMD
UEI-IMD-FL-2015-0045,3/27/2015,3/31/2015,4,Heavy rains,"Alappuzha, Pathanamthitta ",KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"i) Damage to around 3500 Banana plantation uprooted. Damage to Tapioca, Bitter gaud crops & Cashew, Jackfruit, Peepal trees reported. ii) Damage to 3 acers of cultivation land & Gingily crops reported.  iii) Several road side trees uprooted causing disruption in vehicular traffic. iv) Several electric cable lines damaged causing disruption in power supply. v) Damage to worth Rs.15 lakhs according to Agriculture Department reported. vi) Partial damage to 58 houses in Haripad town reported",IMD
UEI-IMD-FL-2015-0046,6/4/2015,10/4/2015,122,Heavy rains,"Alappuzha, Ernakulam, Palakkad, Idukki, Kollam ",KERALA,NA,NA,NA,NA,NA,1,NA,NA,1 person injured,"Damage to 250 acres of Paddy crops, 500 Banana plantation, vegetables & Gingili crops reported.  ii) Damage to worth Rs.30,000/- reported. iii) Several trees / electric poles uprooted causing disruption in vehicular traffic & power supply for few hours.",IMD
UEI-IMD-FL-2015-0047,11/4/2015,4/16/2015,Diffing the dates,Heavy rains,"Ernakulam, Idukki, Kollam, Kozhikode,  Malappuram,  Pathanamthitta, Thiruvananthapuram,Wayanad ",KERALA,NA,NA,NA,NA,NA,5,NA,NA,5 persons injured,"i) Damage to more than 12,000 Banana plantation, more than 350 acres of vegetable cultivation & Teak, Rubber trees reported. ii) Damage to several houses reported.  iii) Approx Rs. 8 lakhs worth damage reported.  iv) Several trees uprooted & fell across the road causing damage to small vendors & traffic disruption",IMD
UEI-IMD-FL-2015-0048,4/19/2015,4/25/2015,6,Heavy rains,"Alappuzha, Idukki, Kasaragod, Kannur, Malappuram,  Palakkad, Pathanamthitta,  Thiruvananthapuram",KERALA,NA,NA,NA,NA,1,13,NA,NA,2 persons injured in Idukki Dist. 3 persons injured in Kannur Dist. due to wall collapsed. One person injured in Malappuram Dist. 2 persons injured in Palakkad Dist. One person died &  5 persons seriously injured in Thiruvananthapuram Dist.,"Alappuzha: i) Vegetable crops e.g. Beans, Pumkin, Cucumber submerged. ii) Alappuzha ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â€šÂ¬Ã…â€œ Kottayam Pathanamthitta road traffic disrupted iii) Several areas submerged. iv) Low-lying areas flooded. Idukki: i) Severe damage to Agriculture crops including Rubber Teak, Banana, Arecanut, Cardmon and Coconut reported. ii) Damage to 3 houses fully & 4 houses partially reported Kasaragod: i) Damage to 50 houses fully & 20 houses partially reported. ii) Damage to 15,000 Banana plantation, Rubber, Nutmeg, Coconut & more than 100 acres of agriculture crops reported. iii) Loss worth cores as per Krishi Bhavan authorities reported Kannur : Damage to Banana & vegetable crops reported. Malappuram: i) Damage to 100 acres of agricultural land & 2220 Banana plantation reported. ii) Loss worth lakhs rupees reported. iii) Several trees including 25 Coconut, Arecanuts uprooted. Palakkad: i) Damage to more than 10,000 Banana crops reported. ii) Damage to more than 20 houses reported. iii) Rs.1.5 crores worth damage estimated. iv) Several trees, 25 electric poles uprooted causing disruption in vehicular traffic & power supply. Pathanamthitta:  i) Damage to 20 acres of agricultural land reported. ii) 15 shops inundated. iii) Damage to several vehicles, computers and motors of different shops reported. Thiruvananthapuram: i) Extensive damage to Agricultural crops Banana, Tapioca,    vegetable in Meenmootil, Vamanapuram, Nelimood, Neyyattinkara, Vellarada etc. reported. ii) City area, Coastal areas, low-lying areas & several houses in Poovar, Kanjiramkulam, Pulluvilla & Vanjiyoor police station flooded. iii) Damage to about one hundred houses reported. iv) Damage to Thycaud-Women & child hospital reported. v) Several trees/electric poles uprooted causing disruption in telecommunication services vehicular traffic & power supply. vi) Loss worth lakhs of  rupees reported. ",IMD
UEI-IMD-FL-2015-0049,4/26/2015,4/30/2015,4,Heavy rains,"Alappuzha, Ernakulam, Kannur, Kottayam, Malappuram, Pathanamthitta Thiruvananthapuram,Wayanad",KERALA,NA,NA,NA,NA,NA,2,NA,NA,One person injured in Kannur Dist. One person injured in Kottayam Dist.,"Alappuzha : i) More than 200 fishermen families affected. ii) Damage to 7 boats, nets, engine & fishing equipments in NeerkunamPounnapra coastal area reported. iii) Around 15 lakhs rupees worth damage reported Ernakulam: i) Damage to 200 Banana & Rubber Coconut, vegetable crops reported. ii) Damage to Agriculture crops worth lakhs of rupees reported. iii) Damage to several houses reported. iv) Irrigation & drinking water supply disrupted. Kannur: i) Damage to 50 houses reported. ii) Damage to 300 acres of agriculture crops reported. Kottayam: i) Damage to hundreds of Rubber, Banana, Tapioca, Teak Coconut & vegetable crops reported. ii) Damage to few houses reported. Malappuram: i) Around 5000 hectares of Paddy fields flooded. ii) Seeds ready for harvest, fell & got sprouted. Pathanamthitta : i) Damage to 2500 Tapioca plantation reported. ii) Damage to 5 houses reported. Thiruvananthapuram & Wayanad i) Thousands of Banana plantations uprooted. ii) Several electric cable lines damaged. ",IMD
UEI-IMD-FL-2015-0050,3/5/2015,5/5/2015,61,Heavy rains,"Ernakulam, Idukki, Kannur, Palakkad, Thrissur, Thiruvananthapuram",KERALA,NA,NA,NA,NA,NA,2,NA,NA,2 persons injured as uprooted tree fell over the ca,"i) Damage to more than 2500 Banana crops reported & severe loss to Nutmeg, Tapioca & vegetable reported. ii) Damage to more than 80 houses reported. iii) Damage to portion of a school building, portion of a mosque reported. iv) Damage to several electric cable lines including 11 KV electric lines reported. v) Several trees uprooted causing disruption in vehicular traffic & power supply",IMD
UEI-IMD-FL-2015-0051,7/5/2015,9/5/2015,62,Heavy rains,"Kottayam, Palakkad, Thrissur",KERALA,NA,NA,NA,NA,NA,1,NA,NA,One person injured in Palakkad Dist,"Kottayam : i) Damage to Agriculture crops reported. ii) Transformer collapsed. iii) Damage to few houses reported. iv) Damage worth Rs. 4 lakhs reported by KSEB (Kerala State Electricity Board) authorities. Palakkad & Thrissur: i) Damage to more than 70 houses (Pookotkavu village - 40, Srikrishnapuram village - 29) reported. ii) Damage to around 400 plantations reported. iii) 15 Rubber trees & more than 50 electric poles uprooted causing disruption in vehicular traffic & power supply. iv) Damage to Anganwadi building reported as uprooted tree fell over it. v) Water supply disrupted for 2 days",IMD
UEI-IMD-FL-2015-0052,10/5/2015,5/14/2015,Diffing the dates,Heavy rains,"Ernakulam, Idukkai, Kannur, Kasaragod, Kollam, Kozhikode, Mallapuram, Palakkad, Thrissur, Wayanad",KERALA,NA,NA,NA,NA,NA,4,NA,NA,4 persons injured,"i) Damage to Agriculture crops Banana, Rubber crops & 500 acres of Paddy fields reported. ii) Damage to several houses reported. iii) Water logging in low lying areas. iv) Loss worth Rs.60,000/-. v) Well caved in. vi) A huge tree uprooted & fell across Kozhikode-Vythiri-Ooty State Highway causing traffic disruption",IMD
UEI-IMD-FL-2015-0053,5/15/2015,5/28/2015,13,Heavy rains,"Kasaragod, Kollam, Thiruvananthapuram",KERALA,NA,NA,NA,NA,5,15,NA,NA,"5 persons died in Pozhiyoor, Thiruvananthapuram Dist. 15 persons injured in Thiruvananthapuram Dis","Kasaragod: Worth rupees One lakh damage reported. Kollam: i) Extensive damage to Agricultural crops mainly Banana, Tapioca crops reported. ii) 6 houses inundated. iii) Low-lying areas, fields & NeduvathurPalmootti canal flooded. iv) Damage to house-hold electric appliances & wiring reported. v) Several trees uprooted causing disruption in vehicular traffic & power supply. Thiruvananthapuram: i) Agriculture crops including Banana, Rubber crops submerged. ii) Around 650 farmers affected. iii) Low-lying areas flooded. iv) Damage to more than 300 houses reported. v) People shifted to relief camps. vi) Eastfort, Killipalam, Karmana, Poojappura & Pazhavangadi areas innundated. vii) Thampanoor railway station, Bus stand, bus terminus flooded. viii) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply. ix) Varkala beach area affected",IMD
UEI-IMD-FL-2015-0054,8/6/2015,6/16/2015,Diffing the dates,Heavy rains,"Alappuzha, Kannur, Kollam, Thrissur, Thiruvananthapuram",KERALA,NA,NA,NA,NA,1,1,NA,NA,One person injured in Kollam Dist. One person died due to wall collapsed in Thrissur Dist.,Alappuzha : i) Damage to two acres of Banana crops reported. ii) Damage to 10 houses reported. iii) 26 families of 90 persons shifted to relief camps. iv) Water supply disrupted in beach areas. Kannur : District office of Kerala Aided School EmployeesÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â‚¬Å¾Ã‚Â¢ Provident fund caved in. Kollam :  Damage to a house reported as coconut tree uprooted fell over it. Thrissur :i) Damage to 5 houses reported. ii) Low-lying areas inundated. iii) Severe waterlogging in the low-lying areas.Thiruvananthapuram : i) Damage to 15 houses reported. ii) Damage to Fiber boat factory reported. iii) Around One lakh rupees worth damage reported.  iv) Several trees uprooted.,IMD
UEI-IMD-FL-2015-0055,6/19/2015,6/29/2015,10,Heavy rains,"Alappuzha, Ernakulam, Idukki, Kasaragod, Kottayam, Kozhokode, Palakkad, Pathanamthitta, Thrissur, Thiruvananthapuram, Wayanad ",KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IMD
UEI-IMD-FL-2015-0056,7/18/2015,7/20/2015,2,Heavy Rain,Kannur,KERALA,NA,NA,NA,NA,NA,NA,NA,NA,Heavy Rain ,i) Damage to 465 hectares of land & Rs. 3.76 crore of crops reported. ii) Damage to 8 houses fully & 416 houses partially reported. Property loss of Rs.97.92 lakh reported.,IMD
UEI-IMD-FL-2015-0057,12/8/2015,12/8/2015,0,Heavy Rain,Kannur,KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,i) Complete damage to one house reported. ii) 2 lakhs rupees worth damage reported.   ,IMD
UEI-IMD-FL-2015-0058,5/9/2015,6/9/2015,31,Heavy Rain,"Pathanamthitta, Thiruvananthapuram ",KERALA,NA,NA,NA,NA,NA,NA,NA,3000,Around 3000 hens perished in Thiruvananthapuram,"Pathanamthitta : Loss of worth Rs.3 lakhs reported as compound wall of a house collapsed. Thiruvananthapuram : i) Damage to Agricultural crops including Rubber plantation, Banana, Tapioca worth crores reported. ii) Damage to several shops, workshops, Govt. Dept., houses, bridges Oil-mill completely submerged causing damage worth Rs.8 lakhs. iii) Medicines of worth Rs.3 lakhs damaged, as Anand Veterinary hospital inundated. iv) Low lying areas inundated. v) 200 houses marooned.",IMD
UEI-IMD-FL-2015-0059,9/27/2015,9/28/2015,1,Heavy Rain,"Kannur, Wayanad",KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,i) Damage to 3.5 acres of Paddy crops reported. ii) Loss worth lakhs of rupees reported as 2 acres of land damaged. iii) Many roads washed away,IMD
UEI-IMD-FL-2015-0060,8/10/2015,9/10/2015,31,Heavy Rain,Thiruvananthapuram,KERALA,NA,NA,NA,NA,NA,1,NA,NA,One person injured,"i) Damage to Agricultural crops including Rubber, Coconut trees reported. ii) Damage to more than 150 houses reported.",IMD
UEI-IMD-FL-2015-0061,10/30/2015,10/31/2015,1,Heavy Rain,Thiruvananthapuram,KERALA,NA,NA,NA,NA,NA,NA,NA,100,More than 100 hens perished.,i) Extensive damage to Agricultural crops reported. ii) About 150 houses inundated. iii) Low lying areas flooded. iv) Several trees / electric poles uprooted causing disruption in vehicular traffic & power supply,IMD
UEI-IMD-FL-2015-0062,1/11/2015,11/21/2015,314,Heavy Rain,"Ernakulam, Malappuram, Pathanamthitta, Thiruvananthapuram",KERALA,NA,NA,NA,NA,2,NA,NA,NA,2 persons died,"i) Damage to Agricultural crops including Banana, Tapioca, Betelleaves, vegetables reported. ii) Several houses inundated & complete damage to 11 houses reported. iii) Many people shifted to safer places. iv) Damage to about 70 vehicles reported. v) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply",IMD
UEI-IMD-FL-2015-0063,8/12/2015,12/19/2015,129,Heavy Rain,"Alappuzha, Thiruvananthapuram",KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"i) Damage to more than 2000 acres of Paddy cultivation and agricultural crops including Rubber, Banana, Tapioca, Yam, vegetables reported. ii) Low lying areas flooded. iii) Tones of the seeds washed away. iv) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply",IMD
